6056XJF,Seat,Ibiza,rojo,18569.0,3131182,false,5,true,
5087XMG,Citroen,C4,amarillo,19300.0,6993135,false,5,false,
9454SLY,Citroen,C4,rojo,19300.0,430034,false,5,false,
1750QTL,Renault,Megane,rojo,21320.0,1907489,false,5,false,
1692UJV,Seat,Ibiza,dorado,18569.0,4865277,false,5,true,
3290IXC,Alfa Romeo,Guiullia,amarillo,23500.0,7757906,false,5,false,
6679TOP,Renault,Megane,negro,21320.0,9704603,false,5,false,
4872PCÑ,Opel,Astra,amarillo,23658.0,926006,false,5,true,
6140QFH,Seat,Ibiza,negro,18569.0,6643378,false,5,false,
9472PND,Citroen,C4,rojo,19300.0,9229153,false,5,false,
2894KUQ,Seat,Ibiza,azul,18569.0,2848256,false,5,false,
5221IVY,Opel,Astra,negro,23658.0,5697596,false,5,false,
9294LJW,Seat,Ibiza,dorado,18569.0,5099516,false,5,true,
9736DWI,Renault,Megane,amarillo,21320.0,7927331,false,5,true,
0246DPA,Renault,Megane,rojo,21320.0,7215752,false,5,true,
0699HLQ,Alfa Romeo,Guiullia,negro,23500.0,2675111,false,5,false,
0307ZSG,Seat,Ibiza,amarillo,18569.0,2146628,false,5,true,
2619QHY,Renault,Megane,amarillo,21320.0,8434369,false,5,false,
6511WRX,Renault,Megane,negro,21320.0,7744181,false,5,false,
6272UER,Renault,Megane,amarillo,21320.0,1493602,false,5,false,
0744TYG,Citroen,C4,dorado,19300.0,8890078,false,5,true,
3798EKÑ,Renault,Megane,negro,21320.0,8170965,false,5,true,
0071SIW,Citroen,C4,dorado,19300.0,9364386,false,5,false,
3730GTK,Opel,Astra,azul,23658.0,1132893,false,5,true,
1731ÑBX,Renault,Megane,amarillo,21320.0,8249116,false,5,false,
3326JBT,Citroen,C4,dorado,19300.0,9312890,false,5,true,
4163DQZ,Opel,Astra,dorado,23658.0,5300733,false,5,false,
4789CCT,Alfa Romeo,Guiullia,rojo,23500.0,8996904,false,5,true,
3764MKL,Alfa Romeo,Guiullia,azul,23500.0,6194197,false,5,true,
2276CDL,Renault,Megane,azul,21320.0,5354993,false,5,false,
