1809GXM,Opel,Astra,dorado,23658.0,4114249,false,19000,
0294ÑGB,Renault,Megane,rojo,21320.0,9878596,false,19000,
8490LWD,Alfa Romeo,Guiullia,dorado,23500.0,553054,false,19000,
7820GRJ,Renault,Megane,amarillo,21320.0,2781970,false,19000,
5393DCF,Opel,Astra,rojo,23658.0,700161,false,19000,
1993RSK,Renault,Megane,negro,21320.0,9564905,false,19000,
1193CIP,Alfa Romeo,Guiullia,rojo,23500.0,5267853,false,19000,
6535GDO,Citroen,C4,rojo,19300.0,1309579,false,19000,
1760BNR,Opel,Astra,negro,23658.0,9742240,false,19000,
0707ORC,Alfa Romeo,Guiullia,amarillo,23500.0,6269001,false,19000,
6381TZG,Alfa Romeo,Guiullia,amarillo,23500.0,2601590,false,19000,
9592JJK,Citroen,C4,azul,19300.0,5042423,false,19000,
8403BVM,Renault,Megane,dorado,21320.0,9045091,false,19000,
4262PNQ,Seat,Ibiza,negro,18569.0,4128841,false,19000,
1724WZU,Citroen,C4,azul,19300.0,6614953,false,19000,
1189HTL,Citroen,C4,dorado,19300.0,6484334,false,19000,
2304FVA,Opel,Astra,negro,23658.0,596492,false,19000,
9899RBE,Renault,Megane,amarillo,21320.0,7366699,false,19000,
7069OXS,Alfa Romeo,Guiullia,dorado,23500.0,2986662,false,19000,
8249RÑS,Seat,Ibiza,rojo,18569.0,461199,false,19000,
1414RFB,Renault,Megane,dorado,21320.0,4027538,false,19000,
6214QXI,Alfa Romeo,Guiullia,negro,23500.0,766610,false,19000,
2349EFT,Seat,Ibiza,rojo,18569.0,2692598,false,19000,
7411UÑF,Opel,Astra,amarillo,23658.0,2196497,false,19000,
6639ZBN,Renault,Megane,negro,21320.0,7325305,false,19000,
6886AGB,Alfa Romeo,Guiullia,dorado,23500.0,5062375,false,19000,
7104IIE,Opel,Astra,dorado,23658.0,438611,false,19000,
1802EPV,Renault,Megane,amarillo,21320.0,819525,false,19000,
7950KXU,Alfa Romeo,Guiullia,azul,23500.0,8554918,false,19000,
7222QDX,Citroen,C4,rojo,19300.0,17292,false,19000,
